title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
"Hey, Soul Sister",Train,neo mellow,2010,97,89,67,-4,8,80,217,19,4,83
Love The Way You Lie,Eminem,detroit hip hop,2010,87,93,75,-5,52,64,263,24,23,82
TiK ToK,Kesha,dance pop,2010,120,84,76,-3,29,71,200,10,14,80
Bad Romance,Lady Gaga,dance pop,2010,119,92,70,-4,8,71,295,0,4,79
Just the Way You Are,Bruno Mars,pop,2010,109,84,64,-5,9,43,221,2,4,78
Baby,Justin Bieber,canadian pop,2010,65,86,73,-5,11,54,214,4,14,77
Dynamite,Taio Cruz,dance pop,2010,120,78,75,-4,4,82,203,0,9,77
Secrets,OneRepublic,dance pop,2010,148,76,52,-6,12,38,225,7,4,77
Empire State of Mind (Part II) Broken Down,Alicia Keys,hip pop,2010,93,37,48,-8,12,14,216,74,3,76
Only Girl (In The World),Rihanna,barbadian pop,2010,126,72,79,-4,7,61,235,13,4,73
A Thousand Years,Christina Perri,dance pop,2011,139,41,42,-7,11,16,285,31,3,81
Someone Like You,Adele,british soul,2011,135,33,56,-8,10,28,285,89,3,80
Give Me Everything,Pitbull,dance pop,2011,129,94,67,-3,30,53,252,19,16,79
Just the Way You Are,Bruno Mars,pop,2011,109,84,64,-5,9,43,221,2,4,78
Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,76
Run the World (Girls),Beyoncé,dance pop,2011,127,90,73,-4,37,76,236,0,14,76
Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,pop,2011,128,76,72,-4,32,62,201,1,5,76
Love On Top,Beyoncé,dance pop,2011,94,75,65,-5,60,65,267,8,9,76
Grenade,Bruno Mars,pop,2011,110,56,71,-7,12,23,223,15,6,75
Tonight Tonight,Hot Chelle Rae,dance pop,2011,100,78,69,-5,16,81,200,8,12,75
Titanium (feat. Sia),David Guetta,dance pop,2012,126,79,60,-4,13,30,245,7,10,80
Locked Out of Heaven,Bruno Mars,pop,2012,144,70,73,-4,31,87,233,5,4,79
Paradise,Coldplay,permanent wave,2012,140,59,45,-7,8,20,279,5,3,79
Payphone,Maroon 5,pop,2012,110,75,74,-5,29,55,231,2,4,79
What Makes You Beautiful,One Direction,boy band,2012,125,79,73,-2,6,89,200,1,7,78
I Knew You Were Trouble.,Taylor Swift,pop,2012,77,47,62,-7,3,68,220,0,4,77
